A...1,B...2,E...5
1,16,6
19,11,16
6,8,17
2,12,6
8,6,7
22,22,4
4,2,7
15,9,7
20,2,13
7,14,17
3,19,3
14,2,5
10,15,6
5,19,22
8,4,4
8,21,18
12,23,12
5,13,23
14,5,1
10,12,10
16,1,19
19,13,6
11,18,13
12.56126482,12.59288538,12.34782609
12.74209486,12.67490119,12.5
12.9229249,12.756917,12.65217391
13.10375494,12.83893281,12.80434783
13.28458498,12.92094862,12.95652174
13.46541502,13.00296443,13.10869565
13.64624506,13.08498024,13.26086957
13.8270751,13.16699605,13.41304348
14.00790514,13.24901186,13.56521739
14.18873518,13.33102767,13.7173913
14.36956522,13.41304348,13.86956522
14.55039526,13.49505929,14.02173913
14.7312253,13.5770751,14.17391304
14.91205534,13.65909091,14.32608696
15.09288538,13.74110672,14.47826087
15.27371542,13.82312253,14.63043478
15.45454545,13.90513834,14.7826087
15.63537549,13.98715415,14.93478261
15.81620553,14.06916996,15.08695652
15.99703557,14.15118577,15.23913043
16.17786561,14.23320158,15.39130435
16.35869565,14.31521739,15.54347826
16.53952569,14.3972332,15.69565217
16.72035573,14.47924901,15.84782609
16.90118577,14.56126482,16
17.08201581,14.64328063,16.15217391
17.26284585,14.72529644,16.30434783
17.44367589,14.80731225,16.45652174
17.62450593,14.88932806,16.60869565
17.80533597,14.97134387,16.76086957
17.98616601,15.05335968,16.91304348
18.16699605,15.13537549,17.06521739
18.34782609,15.2173913,17.2173913
18.52865613,15.29940711,17.36956522
18.70948617,15.38142292,17.52173913
18.89031621,15.46343874,17.67391304
19.07114625,15.54545455,17.82608696
19.25197628,15.62747036,17.97826087
19.43280632,15.70948617,18.13043478
19.61363636,15.79150198,18.2826087
19.7944664,15.87351779,18.43478261
19.97529644,15.9555336,18.58695652
20.15612648,16.03754941,18.73913043
20.33695652,16.11956522,18.89130435
20.51778656,16.20158103,19.04347826
20.6986166,16.28359684,19.19565217
20.87944664,16.36561265,19.34782609
21.06027668,16.44762846,19.5
21.24110672,16.52964427,19.65217391
21.42193676,16.61166008,19.80434783
21.6027668,16.69367589,19.95652174
21.78359684,16.7756917,20.10869565
21.96442688,16.85770751,20.26086957
22.14525692,16.93972332,20.41304348
22.32608696,17.02173913,20.56521739
22.506917,17.10375494,20.7173913
22.68774704,17.18577075,20.86956522
22.86857708,17.26778656,21.02173913
23.04940711,17.34980237,21.17391304
23.23023715,17.43181818,21.32608696
23.41106719,17.51383399,21.47826087
23.59189723,17.5958498,21.63043478
23.77272727,17.67786561,21.7826087
23.95355731,17.75988142,21.93478261
24.13438735,17.84189723,22.08695652
24.31521739,17.92391304,22.23913043
24.49604743,18.00592885,22.39130435
24.67687747,18.08794466,22.54347826
24.85770751,18.16996047,22.69565217
25.03853755,18.25197628,22.84782609
25.21936759,18.33399209,23
25.40019763,18.41600791,23.15217391
25.58102767,18.49802372,23.30434783
25.76185771,18.58003953,23.45652174
25.94268775,18.66205534,23.60869565
26.12351779,18.74407115,23.76086957
26.30434783,18.82608696,23.91304348
26.48517787,18.90810277,24.06521739
26.66600791,18.99011858,24.2173913
26.84683794,19.07213439,24.36956522
27.02766798,19.1541502,24.52173913
27.20849802,19.23616601,24.67391304
27.38932806,19.31818182,24.82608696
27.5701581,19.40019763,24.97826087
27.75098814,19.48221344,25.13043478
27.93181818,19.56422925,25.2826087
28.11264822,19.64624506,25.43478261
28.29347826,19.72826087,25.58695652
28.4743083,19.81027668,25.73913043
28.65513834,19.89229249,25.89130435
28.83596838,19.9743083,26.04347826
29.01679842,20.05632411,26.19565217
29.19762846,20.13833992,26.34782609
29.3784585,20.22035573,26.5
29.55928854,20.30237154,26.65217391
29.74011858,20.38438735,26.80434783
29.92094862,20.46640316,26.95652174
30.10177866,20.54841897,27.10869565
30.2826087,20.63043478,27.26086957
30.46343874,20.71245059,27.41304348
30.64426877,20.7944664,27.56521739
30.82509881,20.87648221,27.7173913
31.00592885,20.95849802,27.86956522
31.18675889,21.04051383,28.02173913
31.36758893,21.12252964,28.17391304
31.54841897,21.20454545,28.32608696
31.72924901,21.28656126,28.47826087
31.91007905,21.36857708,28.63043478
32.09090909,21.45059289,28.7826087
32.27173913,21.5326087,28.93478261
32.45256917,21.61462451,29.08695652
32.63339921,21.69664032,29.23913043
32.81422925,21.77865613,29.39130435
32.99505929,21.86067194,29.54347826
33.17588933,21.94268775,29.69565217
33.35671937,22.02470356,29.84782609
33.53754941,22.10671937,30
33.71837945,22.18873518,30.15217391
33.89920949,22.27075099,30.30434783
34.08003953,22.3527668,30.45652174
34.26086957,22.43478261,30.60869565
34.4416996,22.51679842,30.76086957
34.62252964,22.59881423,30.91304348
34.80335968,22.68083004,31.06521739
34.98418972,22.76284585,31.2173913
35.16501976,22.84486166,31.36956522
35.3458498,22.92687747,31.52173913
35.52667984,23.00889328,31.67391304
35.70750988,23.09090909,31.82608696
35.88833992,23.1729249,31.97826087
36.06916996,23.25494071,32.13043478
36.25,23.33695652,32.2826087
36.43083004,23.41897233,32.43478261
36.61166008,23.50098814,32.58695652
36.79249012,23.58300395,32.73913043
36.97332016,23.66501976,32.89130435
37.1541502,23.74703557,33.04347826
37.33498024,23.82905138,33.19565217
37.51581028,23.91106719,33.34782609
37.69664032,23.993083,33.5
37.87747036,24.07509881,33.65217391
38.0583004,24.15711462,33.80434783
38.23913043,24.23913043,33.95652174
38.41996047,24.32114625,34.10869565
38.60079051,24.40316206,34.26086957
38.78162055,24.48517787,34.41304348
38.96245059,24.56719368,34.56521739
39.14328063,24.64920949,34.7173913
39.32411067,24.7312253,34.86956522
39.50494071,24.81324111,35.02173913
39.68577075,24.89525692,35.17391304
39.86660079,24.97727273,35.32608696
40.04743083,25.05928854,35.47826087
40.22826087,25.14130435,35.63043478
40.40909091,25.22332016,35.7826087
40.58992095,25.30533597,35.93478261
40.77075099,25.38735178,36.08695652
40.95158103,25.46936759,36.23913043
41.13241107,25.5513834,36.39130435
41.31324111,25.63339921,36.54347826
41.49407115,25.71541502,36.69565217
41.67490119,25.79743083,36.84782609
41.85573123,25.87944664,37
42.03656126,25.96146245,37.15217391
42.2173913,26.04347826,37.30434783
42.39822134,26.12549407,37.45652174
42.57905138,26.20750988,37.60869565
42.75988142,26.28952569,37.76086957
42.94071146,26.3715415,37.91304348
43.1215415,26.45355731,38.06521739
43.30237154,26.53557312,38.2173913
43.48320158,26.61758893,38.36956522
43.66403162,26.69960474,38.52173913
43.84486166,26.78162055,38.67391304
44.0256917,26.86363636,38.82608696
44.20652174,26.94565217,38.97826087
44.38735178,27.02766798,39.13043478
44.56818182,27.10968379,39.2826087
44.74901186,27.1916996,39.43478261
44.9298419,27.27371542,39.58695652
45.11067194,27.35573123,39.73913043
45.29150198,27.43774704,39.89130435
45.47233202,27.51976285,40.04347826
45.65316206,27.60177866,40.19565217
45.83399209,27.68379447,40.34782609
46.01482213,27.76581028,40.5
46.19565217,27.84782609,40.65217391
46.37648221,27.9298419,40.80434783
46.55731225,28.01185771,40.95652174
46.73814229,28.09387352,41.10869565
46.91897233,28.17588933,41.26086957
47.09980237,28.25790514,41.41304348
47.28063241,28.33992095,41.56521739
47.46146245,28.42193676,41.7173913
47.64229249,28.50395257,41.86956522
47.82312253,28.58596838,42.02173913
48.00395257,28.66798419,42.17391304
48.18478261,28.75,42.32608696
48.36561265,28.83201581,42.47826087
48.54644269,28.91403162,42.63043478
48.72727273,28.99604743,42.7826087
48.90810277,29.07806324,42.93478261
49.08893281,29.16007905,43.08695652
49.26976285,29.24209486,43.23913043
49.45059289,29.32411067,43.39130435
49.63142292,29.40612648,43.54347826
49.81225296,29.48814229,43.69565217
49.993083,29.5701581,43.84782609
50.17391304,29.65217391,44
50.35474308,29.73418972,44.15217391
50.53557312,29.81620553,44.30434783
50.71640316,29.89822134,44.45652174
50.8972332,29.98023715,44.60869565
51.07806324,30.06225296,44.76086957
51.25889328,30.14426877,44.91304348
51.43972332,30.22628458,45.06521739
51.62055336,30.3083004,45.2173913
51.8013834,30.39031621,45.36956522
51.98221344,30.47233202,45.52173913
52.16304348,30.55434783,45.67391304
52.34387352,30.63636364,45.82608696
52.52470356,30.71837945,45.97826087
52.7055336,30.80039526,46.13043478
52.88636364,30.88241107,46.2826087
53.06719368,30.96442688,46.43478261
53.24802372,31.04644269,46.58695652
53.42885375,31.1284585,46.73913043
53.60968379,31.21047431,46.89130435
53.79051383,31.29249012,47.04347826
53.97134387,31.37450593,47.19565217
54.15217391,31.45652174,47.34782609
54.33300395,31.53853755,47.5
54.51383399,31.62055336,47.65217391
54.69466403,31.70256917,47.80434783
54.87549407,31.78458498,47.95652174
55.05632411,31.86660079,48.10869565
55.23715415,31.9486166,48.26086957
55.41798419,32.03063241,48.41304348
55.59881423,32.11264822,48.56521739
55.77964427,32.19466403,48.7173913
55.96047431,32.27667984,48.86956522
56.14130435,32.35869565,49.02173913
56.32213439,32.44071146,49.17391304
56.50296443,32.52272727,49.32608696
56.68379447,32.60474308,49.47826087
56.86462451,32.68675889,49.63043478
57.04545455,32.7687747,49.7826087
57.22628458,32.85079051,49.93478261
57.40711462,32.93280632,50.08695652
57.58794466,33.01482213,50.23913043
57.7687747,33.09683794,50.39130435
57.94960474,33.17885375,50.54347826
58.13043478,33.26086957,50.69565217
58.31126482,33.34288538,50.84782609
58.49209486,33.42490119,51
58.6729249,33.506917,51.15217391
58.85375494,33.58893281,51.30434783
59.03458498,33.67094862,51.45652174
59.21541502,33.75296443,51.60869565
59.39624506,33.83498024,51.76086957
59.5770751,33.91699605,51.91304348
59.75790514,33.99901186,52.06521739
59.93873518,34.08102767,52.2173913
60.11956522,34.16304348,52.36956522
60.30039526,34.24505929,52.52173913
60.4812253,34.3270751,52.67391304
60.66205534,34.40909091,52.82608696
60.84288538,34.49110672,52.97826087
61.02371542,34.57312253,53.13043478
61.20454545,34.65513834,53.2826087
61.38537549,34.73715415,53.43478261
61.56620553,34.81916996,53.58695652
61.74703557,34.90118577,53.73913043
61.92786561,34.98320158,53.89130435
62.10869565,35.06521739,54.04347826
62.28952569,35.1472332,54.19565217
62.47035573,35.22924901,54.34782609
62.65118577,35.31126482,54.5
62.83201581,35.39328063,54.65217391
63.01284585,35.47529644,54.80434783
63.19367589,35.55731225,54.95652174
63.37450593,35.63932806,55.10869565
63.55533597,35.72134387,55.26086957
63.73616601,35.80335968,55.41304348
